reward per episode
3.0
-16.0
23.0
0.0
23.0
-3.0
-1.0
-4.0
-5.0
-1.0
-25.0
-11.0
-8.0
-18.0
-10.0
-2.0
-16.0
-13.0
0.0
-20.0
17.0
-10.0
-2.0
-1.0
-25.0
-9.0
-8.0
23.0
22.0
-21.0
-1.0
18.0
-25.0
-7.0
-25.0
-25.0
2.0
-2.0
-8.0
-8.0
1.0
-3.0
-2.0
-1.0
-3.0
-5.0
-25.0
-25.0
15.0
-4.0
-7.0
22.0
-23.0
-9.0
-14.0
-4.0
-3.0
-25.0
-25.0
12.0
-25.0
-16.0
-8.0
-10.0
-1.0
-25.0
4.0
18.0
-19.0
-16.0
-6.0
-13.0
-25.0
-13.0
-4.0
-10.0
2.0
-2.0
-25.0
-24.0
-3.0
-7.0
-6.0
-16.0
-10.0
16.0
-3.0
6.0
-10.0
-21.0
23.0
-4.0
-6.0
-25.0
-2.0
-8.0
-9.0
-25.0
-3.0
-25.0
-22.0
-8.0
10.0
-5.0
-2.0
-22.0
-25.0
-20.0
-5.0
-25.0
2.0
-18.0
-9.0
-2.0
-25.0
1.0
-10.0
22.0
-25.0
-9.0
-8.0
1.0
-9.0
13.0
-25.0
-4.0
-3.0
-25.0
-2.0
-1.0
-25.0
15.0
-3.0
-3.0
-10.0
-3.0
15.0
0.0
-4.0
-5.0
-3.0
-7.0
-25.0
-25.0
-9.0
-13.0
-18.0
-3.0
1.0
-7.0
-6.0
10.0
-9.0
12.0
17.0
-25.0
-25.0
-16.0
-1.0
-25.0
-4.0
11.0
2.0
-25.0
11.0
-16.0
-16.0
-25.0
-24.0
-4.0
-25.0
18.0
-11.0
-22.0
-16.0
4.0
-19.0
4.0
-4.0
-1.0
17.0
-4.0
1.0
-3.0
-2.0
-14.0
-7.0
-22.0
-9.0
-17.0
-1.0
-1.0
-25.0
22.0
-9.0
-18.0
-14.0
-16.0
-15.0
-9.0
-2.0
-10.0
-4.0
-11.0
-25.0
-7.0
-1.0
-3.0
-8.0
-12.0
-7.0
-4.0
20.0
-3.0
7.0
-5.0
-12.0
-25.0
16.0
-12.0
-14.0
16.0
-8.0
-25.0
3.0
-4.0
-20.0
24.0
-10.0
-2.0
21.0
-3.0
-1.0
-1.0
-7.0
-2.0
-14.0
-25.0
-4.0
0.0
-4.0
23.0
-1.0
24.0
-10.0
-19.0
-5.0
0.0
-11.0
-2.0
-10.0
-13.0
-25.0
-4.0
-16.0
2.0
-2.0
-4.0
-7.0
24.0
-1.0
7.0
-2.0
-1.0
-4.0
-6.0
-25.0
-8.0
-11.0
-6.0
-25.0
-6.0
-7.0
1.0
-12.0
-1.0
-25.0
19.0
-6.0
20.0
-5.0
-11.0
-2.0
-15.0
-13.0
-25.0
-25.0
-11.0
-8.0
-6.0
-2.0
18.0
-2.0
-9.0
-25.0
-14.0
-1.0
-22.0
-11.0
-4.0
-20.0
-25.0
-25.0
-1.0
-25.0
-13.0
-5.0
-5.0
-11.0
-9.0
-25.0
-5.0
-3.0
-25.0
-2.0
-1.0
17.0
15.0
21.0
16.0
11.0
-7.0
-6.0
-5.0
-25.0
-2.0
17.0
1.0
-4.0
-25.0
-5.0
-25.0
-2.0
-14.0
-15.0
-17.0
2.0
-15.0
-9.0
18.0
23.0
-9.0
15.0
-9.0
-2.0
-4.0
15.0
12.0
-2.0
-19.0
-14.0
-6.0
0.0
24.0
-2.0
-1.0
-25.0
-6.0
-25.0
0.0
-25.0
-16.0
-25.0
