number of episodes,average reward/episode
0.295,-6.814189189
0.296,-6.828282828
0.297,-6.818791946
0.298,-6.862876254
0.299,-6.923333333
0.3,-6.983388704
0.301,-6.963576159
0.302,-7.02310231
0.303,-7.042763158
0.304,-7.036065574
0.305,-7.029411765
0.306,-7.042345277
0.307,-7.048701299
0.308,-7.106796117
0.309,-7.1
0.31,-7.08681672
0.311,-7.144230769
0.312,-7.127795527
0.313,-7.108280255
0.314,-7.031746032
0.315,-6.962025316
0.316,-6.873817035
0.317,-6.801886792
0.318,-6.746081505
0.319,-6.746875
0.32,-6.744548287
0.321,-6.739130435
0.322,-6.795665635
0.323,-6.780864198
0.324,-6.707692308
0.325,-6.68404908
0.326,-6.675840979
0.327,-6.731707317
0.328,-6.726443769
0.329,-6.781818182
0.33,-6.767371601
0.331,-6.789156627
0.332,-6.813813814
0.333,-6.844311377
0.334,-6.817910448
0.335,-6.842261905
0.336,-6.848664688
0.337,-6.775147929
0.338,-6.687315634
0.339,-6.694117647
0.34,-6.630498534
0.341,-6.637426901
0.342,-6.623906706
0.343,-6.61627907
0.344,-6.553623188
0.345,-6.5
0.346,-6.4870317
0.347,-6.522988506
0.348,-6.544412607
0.349,-6.542857143
0.35,-6.524216524
0.351,-6.4375
0.352,-6.424929178
0.353,-6.40960452
0.354,-6.461971831
0.355,-6.460674157
0.356,-6.512605042
0.357,-6.494413408
0.358,-6.545961003
0.359,-6.572222222
0.36,-6.623268698
0.361,-6.632596685
0.362,-6.619834711
0.363,-6.645604396
0.364,-6.57260274
0.365,-6.62295082
0.366,-6.596730245
0.367,-6.58423913
0.368,-6.574525745
0.369,-6.572972973
0.37,-6.547169811
0.371,-6.521505376
0.372,-6.55227882
0.373,-6.475935829
0.374,-6.464
0.375,-6.473404255
0.376,-6.522546419
0.377,-6.518518519
0.378,-6.53298153
0.379,-6.542105263
0.38,-6.524934383
0.381,-6.5
0.382,-6.480417755
0.383,-6.4765625
0.384,-6.464935065
0.385,-6.453367876
0.386,-6.439276486
0.387,-6.440721649
0.388,-6.46529563
0.389,-6.456410256
0.39,-6.450127877
0.391,-6.443877551
0.392,-6.455470738
0.393,-6.464467005
0.394,-6.453164557
0.395,-6.426767677
0.396,-6.473551637
0.397,-6.452261307
0.398,-6.498746867
0.399,-6.485
0.4,-6.481296758
0.401,-6.527363184
0.402,-6.543424318
0.403,-6.589108911
0.404,-6.577777778
0.405,-6.623152709
0.406,-6.574938575
0.407,-6.617647059
0.408,-6.606356968
0.409,-6.595121951
0.41,-6.583941606
0.411,-6.611650485
0.412,-6.622276029
0.413,-6.615942029
0.414,-6.595180723
0.415,-6.584134615
0.416,-6.510791367
0.417,-6.488038278
0.418,-6.470167064
0.419,-6.469047619
0.42,-6.513064133
0.421,-6.495260664
0.422,-6.494089835
0.423,-6.490566038
0.424,-6.491764706
0.425,-6.481220657
0.426,-6.494145199
0.427,-6.509345794
0.428,-6.491841492
0.429,-6.502325581
0.43,-6.496519722
0.431,-6.493055556
0.432,-6.508083141
0.433,-6.525345622
0.434,-6.512643678
0.435,-6.52293578
0.436,-6.505720824
0.437,-6.5
0.438,-6.507972665
0.439,-6.509090909
0.44,-6.519274376
0.441,-6.497737557
0.442,-6.446952596
0.443,-6.454954955
0.444,-6.465168539
0.445,-6.452914798
0.446,-6.445190157
0.447,-6.441964286
0.448,-6.436525612
0.449,-6.44
0.45,-6.441241685
0.451,-6.440265487
0.452,-6.465783664
0.453,-6.49339207
0.454,-6.47032967
0.455,-6.458333333
0.456,-6.455142232
0.457,-6.454148472
0.458,-6.481481481
0.459,-6.510869565
0.46,-6.501084599
0.461,-6.541125541
0.462,-6.531317495
0.463,-6.515086207
