number of episodes,average reward/episode
5.869,-3.368654174
5.87,-3.370294669
5.871,-3.370401907
5.872,-3.372552358
5.873,-3.373169901
5.874,-3.370553191
5.875,-3.36691627
5.876,-3.369236005
5.877,-3.370023818
5.878,-3.370130975
5.879,-3.371938776
5.88,-3.371535453
5.881,-3.367392044
5.882,-3.368349482
5.883,-3.371346023
5.884,-3.368054376
5.885,-3.366292898
5.886,-3.368269067
5.887,-3.369565217
5.888,-3.373238241
5.889,-3.370628183
5.89,-3.372941776
5.891,-3.374405974
5.892,-3.373833362
5.893,-3.374278928
5.894,-3.370653096
5.895,-3.370590231
5.896,-3.371714431
5.897,-3.370973211
5.898,-3.370910324
5.899,-3.367457627
5.9,-3.368412134
5.901,-3.36868858
5.902,-3.36981196
5.903,-3.370596206
5.904,-3.36934801
5.905,-3.370132069
5.906,-3.371762316
5.907,-3.372207177
5.908,-3.368590286
5.909,-3.367174281
5.91,-3.36728134
5.911,-3.36688092
5.912,-3.366480636
5.913,-3.366080487
5.914,-3.36635672
5.915,-3.366125761
5.916,-3.362007774
5.917,-3.359242987
5.918,-3.359013347
5.919,-3.358614865
5.92,-3.354332039
5.921,-3.35292131
5.922,-3.355056559
5.923,-3.356515868
5.924,-3.35443038
5.925,-3.351333108
5.926,-3.352454868
5.927,-3.348684211
5.928,-3.348794063
5.929,-3.349241147
5.93,-3.349182263
5.931,-3.350640593
5.932,-3.350244396
5.933,-3.346646444
5.934,-3.350294861
5.935,-3.350909704
5.936,-3.352029645
5.937,-3.352980802
5.938,-3.35258461
5.939,-3.352693603
5.94,-3.353475846
5.941,-3.353921239
5.942,-3.353693421
5.943,-3.357335128
5.944,-3.358116064
5.945,-3.358055836
5.946,-3.35816378
5.947,-3.359448554
5.948,-3.359892419
5.949,-3.360504202
5.95,-3.360443623
5.951,-3.35719086
5.952,-3.357466823
5.953,-3.357238831
5.954,-3.352980688
5.955,-3.355439893
5.956,-3.351687091
5.957,-3.35129238
5.958,-3.349723108
5.959,-3.350503356
5.96,-3.350612313
5.961,-3.350553506
5.962,-3.350494717
5.963,-3.350603622
5.964,-3.351047779
5.965,-3.352162253
5.966,-3.355287414
5.967,-3.355227882
5.968,-3.35148266
5.969,-3.352093802
5.97,-3.355049405
5.971,-3.354655057
5.972,-3.355767621
5.973,-3.357047205
5.974,-3.354142259
5.975,-3.355589023
5.976,-3.355864146
5.977,-3.359484778
5.978,-3.359926409
5.979,-3.361204013
5.98,-3.357799699
5.981,-3.357739886
5.982,-3.358181514
5.983,-3.35828877
5.984,-3.355054302
5.985,-3.355496158
5.986,-3.355770837
5.987,-3.35754843
5.988,-3.357989648
5.989,-3.357595993
5.99,-3.358037056
5.991,-3.357476636
5.992,-3.353912898
5.993,-3.353019686
5.994,-3.353628023
5.995,-3.350233489
5.996,-3.349841587
5.997,-3.35045015
5.998,-3.347724621
5.999,-3.349166667
6,-3.351774704
6.001,-3.355381539
6.002,-3.354989172
6.003,-3.354596935
6.004,-3.354204829
6.005,-3.352480852
6.006,-3.350258032
6.007,-3.34936751
6.008,-3.350807123
6.009,-3.350582363
6.01,-3.350191316
6.011,-3.350465735
6.012,-3.353567271
6.013,-3.354173595
6.014,-3.353948462
6.015,-3.349567819
6.016,-3.349343527
6.017,-3.35078099
6.018,-3.352882539
6.019,-3.355647841
6.02,-3.355256602
6.021,-3.352706742
6.022,-3.353644363
6.023,-3.349269588
6.024,-3.349543568
6.025,-3.352140724
6.026,-3.351252696
6.027,-3.351857996
6.028,-3.352463095
6.029,-3.352072968
6.03,-3.352014591
6.031,-3.354608753
6.032,-3.35438422
6.033,-3.354822672
6.034,-3.354598177
6.035,-3.356030484
6.036,-3.355971509
6.037,-3.355912554
6.038,-3.352872992
6.039,-3.352980132
6.04,-3.349279921
6.041,-3.350049652
6.042,-3.350157207
6.043,-3.351753805
6.044,-3.349545079
6.045,-3.349818062
6.046,-3.345956673
6.047,-3.345734127
6.048,-3.346338238
6.049,-3.348595041
6.05,-3.348206908
6.051,-3.348149372
6.052,-3.348752685
6.053,-3.345226297
6.054,-3.345004129
6.055,-3.342140026
6.056,-3.345715701
6.057,-3.345328491
6.058,-3.345601584
6.059,-3.345709571
6.06,-3.341857779
6.061,-3.341636424
6.062,-3.344054099
6.063,-3.340204485
6.064,-3.33932399
6.065,-3.339432905
6.066,-3.340036262
6.067,-3.339485827
6.068,-3.340253749
6.069,-3.338056013
6.07,-3.33931807
6.071,-3.337615283
6.072,-3.336571711
6.073,-3.336187027
6.074,-3.337119342
6.075,-3.336899276
6.076,-3.336843837
6.077,-3.340078973
6.078,-3.341668038
6.079,-3.342927632
6.08,-3.338431179
6.081,-3.335087142
6.082,-3.33651159
6.083,-3.33678501
6.084,-3.335579293
6.085,-3.335688465
6.086,-3.336783309
6.087,-3.336399474
6.088,-3.337493841
6.089,-3.337602627
6.09,-3.337218847
6.091,-3.336999343
6.092,-3.336779911
6.093,-3.337381031
6.094,-3.340771124
6.095,-3.342191601
6.096,-3.342627522
6.097,-3.341915382
6.098,-3.34169536
6.099,-3.337704918
6.1,-3.337977381
6.101,-3.337594231
6.102,-3.340160577
6.103,-3.336336828
6.104,-3.33988534
6.105,-3.336881756
6.106,-3.336171606
6.107,-3.332514735
6.108,-3.332951383
6.109,-3.332569558
6.11,-3.334478809
6.111,-3.335078534
6.112,-3.33698675
6.113,-3.337422309
6.114,-3.339165985
6.115,-3.340255069
6.116,-3.339545529
6.117,-3.335403727
6.118,-3.335185488
6.119,-3.332679739
6.12,-3.332625388
6.121,-3.332571055
6.122,-3.333986608
6.123,-3.332135859
6.124,-3.332571429
6.125,-3.332353901
6.126,-3.332952505
6.127,-3.332734987
6.128,-3.333333333
6.129,-3.329690049
6.13,-3.329962486
6.131,-3.329908676
6.132,-3.330833197
6.133,-3.331594392
6.134,-3.332518337
6.135,-3.333604954
6.136,-3.333713541
6.137,-3.329912023
6.138,-3.33132432
6.139,-3.330130293
6.14,-3.331867774
6.141,-3.333767502
6.142,-3.333713169
6.143,-3.335611979
6.144,-3.332302685
6.145,-3.332411324
6.146,-3.332031885
6.147,-3.332140534
6.148,-3.328833957
6.149,-3.328780488
6.15,-3.328401886
6.151,-3.327535761
6.152,-3.326344872
6.153,-3.322879428
6.154,-3.324289196
6.155,-3.32439896
6.156,-3.327269774
6.157,-3.326242286
6.158,-3.326514044
6.159,-3.327272727
6.16,-3.327381919
6.161,-3.328951639
6.162,-3.325166315
6.163,-3.321868916
6.164,-3.325385239
6.165,-3.327116445
6.166,-3.328036322
6.167,-3.324902724
6.168,-3.320797536
6.169,-3.321880065
6.17,-3.321665856
6.171,-3.321613739
6.172,-3.324801555
6.173,-3.324748947
6.174,-3.325020243
6.175,-3.324967617
6.176,-3.323943662
6.177,-3.323729362
6.178,-3.324000647
6.179,-3.323300971
6.18,-3.323248665
6.181,-3.319475898
6.182,-3.321850235
6.183,-3.322445019
6.184,-3.318997575
6.185,-3.322502425
6.186,-3.32018749
6.187,-3.320943762
6.188,-3.324285022
6.189,-3.3273021
6.19,-3.327572282
6.191,-3.329780362
6.192,-3.331826255
6.193,-3.335324508
6.194,-3.334463277
6.195,-3.33489348
6.196,-3.33467807
6.197,-3.338173604
6.198,-3.339248266
6.199,-3.337258065
6.2,-3.336719884
6.201,-3.33779426
6.202,-3.339351926
6.203,-3.339136041
6.204,-3.340209508
6.205,-3.341927167
6.206,-3.345416465
6.207,-3.345360825
6.208,-3.342245128
6.209,-3.342512077
6.21,-3.342295927
6.211,-3.342401803
6.212,-3.34218574
6.213,-3.341808819
6.214,-3.341110217
6.215,-3.342985843
6.216,-3.338748593
6.217,-3.33756835
6.218,-3.33880045
6.219,-3.335530547
6.22,-3.331779457
6.221,-3.333172613
6.222,-3.329262414
6.223,-3.32535347
6.224,-3.322409639
6.225,-3.323321555
6.226,-3.323109041
6.227,-3.323538857
6.228,-3.32509231
6.229,-3.324879615
6.23,-3.327395282
6.231,-3.329268293
6.232,-3.329536339
6.233,-3.329483478
6.234,-3.329911788
6.235,-3.330981398
6.236,-3.330607664
6.237,-3.330394357
6.238,-3.331944222
6.239,-3.333012821
6.24,-3.333279923
6.241,-3.330503044
6.242,-3.330450104
6.243,-3.33247918
6.244,-3.332746197
6.245,-3.333653538
6.246,-3.329918361
6.247,-3.330985915
6.248,-3.330772924
6.249,-3.33104
6.25,-3.331306991
6.251,-3.328534869
6.252,-3.328322405
6.253,-3.328269907
6.254,-3.327897682
6.255,-3.331202046
6.256,-3.334665175
6.257,-3.336848833
6.258,-3.336155935
6.259,-3.337060703
6.26,-3.337006868
6.261,-3.339029064
6.262,-3.335621906
6.263,-3.335568327
6.264,-3.335674381
6.265,-3.336259177
6.266,-3.336843785
6.267,-3.337747288
6.268,-3.338810018
6.269,-3.33460925
6.27,-3.334236964
6.271,-3.335618622
6.272,-3.336840427
6.273,-3.333120816
6.274,-3.333545817
6.275,-3.334926705
6.276,-3.334076788
6.277,-3.336094298
6.278,-3.337155598
6.279,-3.336464968
6.28,-3.33657061
6.281,-3.336517033
6.282,-3.336622633
6.283,-3.336887333
6.284,-3.337151949
6.285,-3.339007318
6.286,-3.340703038
6.287,-3.340330789
6.288,-3.340753697
6.289,-3.340540541
6.29,-3.341440153
6.291,-3.339001907
6.292,-3.341331638
6.293,-3.341277407
6.294,-3.340428912
6.295,-3.340851334
6.296,-3.34175004
6.297,-3.341695776
6.298,-3.343070329
6.299,-3.34031746
6.3,-3.34089827
6.301,-3.341320216
6.302,-3.341424718
6.303,-3.343432741
6.304,-3.343061063
6.305,-3.342848081
6.306,-3.344696369
6.307,-3.347495244
6.308,-3.347281661
6.309,-3.349762282
6.31,-3.350023768
6.311,-3.346324461
6.312,-3.343576746
6.313,-3.345106113
6.314,-3.348535234
6.315,-3.347530082
6.316,-3.348108279
6.317,-3.348053181
6.318,-3.347681595
6.319,-3.347943038
6.32,-3.34440753
6.321,-3.345618475
6.322,-3.345563815
6.323,-3.34629981
6.324,-3.349249012
6.325,-3.352513437
6.326,-3.352299668
6.327,-3.348609355
6.328,-3.345710223
6.329,-3.348815166
6.33,-3.347496446
6.331,-3.344756791
6.332,-3.345965577
6.333,-3.347016104
6.334,-3.343172849
6.335,-3.339646465
6.336,-3.340539688
6.337,-3.340170401
6.338,-3.340274491
6.339,-3.343059937
6.34,-3.342690427
6.341,-3.343582466
6.342,-3.345735456
6.343,-3.341897856
6.344,-3.339164697
6.345,-3.342578002
6.346,-3.343784465
6.347,-3.344675488
6.348,-3.341943613
6.349,-3.343149606
6.35,-3.343725398
6.351,-3.345875315
6.352,-3.34550606
6.353,-3.345766446
6.354,-3.347128245
6.355,-3.344556325
6.356,-3.346075193
6.357,-3.346020761
6.358,-3.346123604
6.359,-3.345597484
6.36,-3.34271341
6.361,-3.342816724
6.362,-3.346220336
6.363,-3.346951603
6.364,-3.343126473
6.365,-3.343072573
6.366,-3.34301869
6.367,-3.343121859
6.368,-3.344010049
6.369,-3.340345369
6.37,-3.340291948
6.371,-3.34039548
6.372,-3.340342068
6.373,-3.341700659
6.374,-3.344784314
6.375,-3.345200753
6.376,-3.346401129
6.377,-3.348541863
6.378,-3.349898103
6.379,-3.34968652
6.38,-3.349475004
6.381,-3.349890317
6.382,-3.350305499
6.383,-3.353696742
6.384,-3.354581049
6.385,-3.350610711
6.386,-3.353374041
6.387,-3.354727614
6.388,-3.356550321
6.389,-3.356181534
6.39,-3.355499922
6.391,-3.35528786
6.392,-3.355232285
6.393,-3.355176728
6.394,-3.352150117
6.395,-3.34865541
6.396,-3.349382523
6.397,-3.350109409
6.398,-3.350367245
6.399,-3.350625
6.4,-3.353069833
6.401,-3.355045298
6.402,-3.354521318
6.403,-3.356027483
6.404,-3.359250585
6.405,-3.361067749
6.406,-3.362260028
6.407,-3.362515605
6.408,-3.362615073
6.409,-3.365210608
6.41,-3.366089534
6.411,-3.365876482
6.412,-3.363636364
6.413,-3.36498285
6.414,-3.36710834
6.415,-3.367674564
6.416,-3.368084775
6.417,-3.368806482
6.418,-3.369527964
6.419,-3.371339564
6.42,-3.371904688
6.421,-3.372158206
6.422,-3.375369765
6.423,-3.374533001
6.424,-3.375097276
6.425,-3.374416433
6.426,-3.374046989
6.427,-3.375233354
6.428,-3.374241717
6.429,-3.37029549
6.43,-3.370548904
6.431,-3.369558458
6.432,-3.371677289
6.433,-3.371619521
6.434,-3.368453768
6.435,-3.365288999
6.436,-3.365076899
6.437,-3.365020193
6.438,-3.366050629
6.439,-3.369409938
6.44,-3.36919733
6.441,-3.369760944
6.442,-3.370790005
6.443,-3.372749845
6.444,-3.373002327
6.445,-3.372944462
6.446,-3.369784396
6.447,-3.36957196
6.448,-3.370289967
6.449,-3.370232558
6.45,-3.370640211
6.451,-3.370892746
6.452,-3.371455137
6.453,-3.37124264
6.454,-3.371185128
6.455,-3.370817844
6.456,-3.37416757
6.457,-3.374729018
6.458,-3.37343242
6.459,-3.374613003
6.46,-3.373781148
6.461,-3.372485299
6.462,-3.375831657
6.463,-3.376701733
6.464,-3.377880897
6.465,-3.378286421
6.466,-3.377918664
6.467,-3.379097093
6.468,-3.37625599
6.469,-3.37511592
6.47,-3.374285273
6.471,-3.370673671
6.472,-3.370925382
6.473,-3.374266296
6.474,-3.370656371
6.475,-3.370753552
6.476,-3.371468272
6.477,-3.371565298
6.478,-3.369347121
6.479,-3.366666667
6.48,-3.367690171
6.481,-3.367633446
6.482,-3.367576739
6.483,-3.366594695
6.484,-3.366692367
6.485,-3.367715079
6.486,-3.367966703
6.487,-3.366985203
6.488,-3.367236862
6.489,-3.366718028
6.49,-3.366353412
6.491,-3.36706716
6.492,-3.368396735
6.493,-3.365568217
6.494,-3.365973826
6.495,-3.368688424
6.496,-3.368939511
6.497,-3.365958757
6.498,-3.362055701
6.499,-3.362769231
6.5,-3.362251961
6.501,-3.362811443
6.502,-3.362448101
6.503,-3.362546125
6.504,-3.364027671
6.505,-3.364586536
6.506,-3.361303212
6.507,-3.36462815
6.508,-3.364572131
6.509,-3.364362519
6.51,-3.361234833
6.511,-3.363329238
6.512,-3.362966375
6.513,-3.366287995
6.514,-3.366538757
6.515,-3.366635973
6.516,-3.367346939
6.517,-3.367597423
6.518,-3.369381807
6.519,-3.369018405
6.52,-3.369575219
6.521,-3.369518553
6.522,-3.369461904
6.523,-3.365726548
6.524,-3.363524904
6.525,-3.3630095
6.526,-3.362800674
6.527,-3.362591912
6.528,-3.362689539
6.529,-3.362787136
6.53,-3.360128617
6.531,-3.362216779
6.532,-3.36292668
6.533,-3.359044995
6.534,-3.360214231
6.535,-3.36000612
6.536,-3.359033196
6.537,-3.358672377
6.538,-3.354641382
6.539,-3.354892966
6.54,-3.35820211
6.541,-3.358605931
6.542,-3.358245453
6.543,-3.358190709
6.544,-3.358441558
6.545,-3.35441491
6.546,-3.3511532
6.547,-3.351405009
6.548,-3.354710643
6.549,-3.358015267
6.55,-3.358418562
6.551,-3.360042735
6.552,-3.360598199
6.553,-3.359627708
6.554,-3.35682685
6.555,-3.360128127
6.556,-3.360073204
6.557,-3.360475755
6.558,-3.363165117
6.559,-3.363871951
6.56,-3.360768176
6.561,-3.362541908
6.562,-3.365838793
6.563,-3.363040829
6.564,-3.365727342
6.565,-3.362016448
6.566,-3.361809045
6.567,-3.362971985
6.568,-3.36306896
6.569,-3.364079148
6.57,-3.364480292
6.571,-3.362751065
6.572,-3.36376084
6.573,-3.36035899
6.574,-3.35634981
6.575,-3.354927007
6.576,-3.355481222
6.577,-3.355579203
6.578,-3.357045144
6.579,-3.358054711
6.58,-3.359671782
6.581,-3.360528715
6.582,-3.361081574
6.583,-3.364368165
6.584,-3.365072134
6.585,-3.365168539
6.586,-3.361014119
6.587,-3.363539769
6.588,-3.362573987
6.589,-3.359484067
6.59,-3.358822637
6.591,-3.358464806
6.592,-3.359472167
6.593,-3.361692448
6.594,-3.361637604
6.595,-3.361734384
6.596,-3.362437472
6.597,-3.362988784
6.598,-3.359751477
6.599,-3.355909091
6.6,-3.355703681
6.601,-3.35625568
6.602,-3.357413297
6.603,-3.357056329
6.604,-3.35669947
6.605,-3.356342719
6.606,-3.356591494
6.607,-3.354116223
6.608,-3.351187774
6.609,-3.352193646
6.61,-3.351989109
6.611,-3.351784634
6.612,-3.347951006
6.613,-3.34457212
6.614,-3.344368859
6.615,-3.341293833
6.616,-3.341091129
6.617,-3.340888486
6.618,-3.341290225
6.619,-3.3418429
6.62,-3.342244374
6.621,-3.343249773
6.622,-3.343801902
6.623,-3.344051932
6.624,-3.344754717
6.625,-3.346664654
6.626,-3.34751773
6.627,-3.347163549
6.628,-3.346960326
6.629,-3.342835596
6.63,-3.34202986
6.631,-3.345295537
6.632,-3.345545002
6.633,-3.347000301
6.634,-3.347701583
6.635,-3.350964436
6.636,-3.351363568
6.637,-3.351611931
6.638,-3.350655219
6.639,-3.35
6.64,-3.346182804
6.641,-3.3422162
6.642,-3.342315219
6.643,-3.342865744
6.644,-3.343265613
6.645,-3.343514896
6.646,-3.344967655
6.647,-3.344614922
6.648,-3.345465484
6.649,-3.343308271
6.65,-3.33994888
6.651,-3.339897775
6.652,-3.340147302
6.653,-3.336639615
6.654,-3.336438768
6.655,-3.332632212
6.656,-3.332432026
6.657,-3.332081706
6.658,-3.332632527
6.659,-3.331981982
6.66,-3.332382525
6.661,-3.333233263
6.662,-3.334383911
6.663,-3.336434574
6.664,-3.334133533
6.665,-3.336783678
6.666,-3.338983051
6.667,-3.340281944
6.668,-3.340530814
6.669,-3.343778111
6.67,-3.344775896
6.671,-3.348021583
6.672,-3.350517009
6.673,-3.350614324
6.674,-3.349962547
6.675,-3.352456561
6.676,-3.352403774
6.677,-3.35280024
6.678,-3.354544093
6.679,-3.356137725
6.68,-3.353090855
6.681,-3.351092487
6.682,-3.348795451
6.683,-3.348593656
6.684,-3.350635752
6.685,-3.347292851
6.686,-3.347988635
6.687,-3.351226077
6.688,-3.351024069
6.689,-3.35186846
6.69,-3.352862054
6.691,-3.352361028
6.692,-3.352308382
6.693,-3.352106364
6.694,-3.348917102
6.695,-3.34811828
6.696,-3.34836494
6.697,-3.347267841
6.698,-3.347216002
6.699,-3.347462687
6.7,-3.349947769
6.701,-3.351835273
6.702,-3.353722214
6.703,-3.353520286
6.704,-3.353765846
6.705,-3.353862213
6.706,-3.357089608
6.707,-3.358079905
6.708,-3.354598301
6.709,-3.354545455
6.71,-3.35508866
6.711,-3.353694875
6.712,-3.354238046
6.713,-3.353440572
6.714,-3.353387937
6.715,-3.356611078
6.716,-3.359833259
6.717,-3.359184281
6.718,-3.360023813
6.719,-3.360416667
6.72,-3.360809403
6.721,-3.357929188
6.722,-3.361148297
6.723,-3.360648424
6.724,-3.357769517
6.725,-3.358311032
6.726,-3.358555077
6.727,-3.3617717
6.728,-3.362163769
6.729,-3.363893016
6.73,-3.364433219
6.731,-3.364676173
6.732,-3.367295411
6.733,-3.367686368
6.734,-3.367928731
6.735,-3.368171021
6.736,-3.369303844
6.737,-3.368952211
6.738,-3.371123312
6.739,-3.373145401
6.74,-3.373238392
6.741,-3.375111243
6.742,-3.376686935
6.743,-3.377372479
6.744,-3.380578206
6.745,-3.380818263
6.746,-3.38002075
6.747,-3.37611144
6.748,-3.375166691
6.749,-3.375259259
6.75,-3.375499926
6.751,-3.375296209
6.752,-3.37627721
6.753,-3.37311223
6.754,-3.369948187
6.755,-3.370485494
6.756,-3.370430664
6.757,-3.373187334
6.758,-3.373871875
6.759,-3.374408284
6.76,-3.377606863
6.761,-3.378438332
6.762,-3.380600325
6.763,-3.380248374
6.764,-3.380487805
6.765,-3.379840378
6.766,-3.379932023
6.767,-3.380023641
6.768,-3.378194711
6.769,-3.374150665
6.77,-3.375129228
6.771,-3.374335499
6.772,-3.371032039
6.773,-3.372601122
6.774,-3.375793358
6.775,-3.376033058
6.776,-3.377895824
6.777,-3.381085866
6.778,-3.384274967
6.779,-3.385693215
6.78,-3.385636337
6.781,-3.381893247
6.782,-3.381689518
6.783,-3.381338443
6.784,-3.380692704
6.785,-3.377541998
6.786,-3.373802858
6.787,-3.374926341
6.788,-3.374871115
6.789,-3.375110457
6.79,-3.376969518
6.791,-3.376619552
6.792,-3.373472692
6.793,-3.369590815
6.794,-3.370125092
6.795,-3.372130665
6.796,-3.372811535
6.797,-3.372021183
6.798,-3.371231063
6.799,-3.3725
6.8,-3.373033377
6.801,-3.373125551
6.802,-3.373070704
6.803,-3.373750735
6.804,-3.376928729
6.805,-3.37628563
6.806,-3.376524166
6.807,-3.378525264
6.808,-3.37641357
6.809,-3.376211454
6.81,-3.377771252
6.811,-3.378009395
6.812,-3.38059592
6.813,-3.381860875
6.814,-3.381658107
6.815,-3.381602113
6.816,-3.381986211
6.817,-3.383690232
6.818,-3.383487315
6.819,-3.379912023
6.82,-3.380589356
6.821,-3.380533568
6.822,-3.379598417
6.823,-3.376465416
6.824,-3.3796337
6.825,-3.380896572
6.826,-3.380987256
6.827,-3.381810193
6.828,-3.382193586
6.829,-3.382576867
6.83,-3.381203338
6.831,-3.381147541
6.832,-3.382555247
6.833,-3.379719052
6.834,-3.379370885
6.835,-3.380046811
6.836,-3.38320901
6.837,-3.383006727
6.838,-3.38002632
6.839,-3.383187135
6.84,-3.381815524
6.841,-3.384975153
6.842,-3.388133859
6.843,-3.389976622
6.844,-3.391088386
6.845,-3.392491966
6.846,-3.395647729
6.847,-3.39880257
6.848,-3.398890349
6.849,-3.400875912
6.85,-3.400087578
6.851,-3.396672504
6.852,-3.396906464
6.853,-3.396702655
6.854,-3.399270605
6.855,-3.399941657
6.856,-3.400029167
6.857,-3.400554097
6.858,-3.401078874
6.859,-3.401166181
6.86,-3.401544964
6.861,-3.403089478
6.862,-3.404633542
6.863,-3.405157343
6.864,-3.408302986
6.865,-3.409845616
6.866,-3.409349061
6.867,-3.41249272
6.868,-3.413306158
6.869,-3.413245997
6.87,-3.41012953
6.871,-3.413271246
6.872,-3.414666085
6.873,-3.416642421
6.874,-3.416436364
6.875,-3.416521233
6.876,-3.418060201
6.877,-3.419162547
6.878,-3.416775694
6.879,-3.419331395
6.88,-3.41578259
6.881,-3.417465853
6.882,-3.418712771
6.883,-3.418361418
6.884,-3.415541031
6.885,-3.41707813
6.886,-3.417017569
6.887,-3.413763066
6.888,-3.413993323
6.889,-3.414804064
6.89,-3.415179219
6.891,-3.414973883
6.892,-3.415639054
6.893,-3.415723818
6.894,-3.416823785
6.895,-3.418068445
6.896,-3.418877773
6.897,-3.421281531
6.898,-3.418176547
6.899,-3.415072464
6.9,-3.414722504
6.901,-3.417125471
6.902,-3.417499638
6.903,-3.416859791
6.904,-3.413613324
6.905,-3.413987837
6.906,-3.415665267
6.907,-3.412420382
6.908,-3.415110725
6.909,-3.414905933
6.91,-3.415135292
6.911,-3.415798611
6.912,-3.414870534
6.913,-3.416401504
6.914,-3.415907448
6.915,-3.414835165
6.916,-3.414775192
6.917,-3.414570685
6.918,-3.414221708
6.919,-3.41083815
6.92,-3.411067765
6.921,-3.407396706
6.922,-3.407337859
6.923,-3.406990179
6.924,-3.408953069
6.925,-3.408027722
6.926,-3.408690631
6.927,-3.408920323
6.928,-3.406985135
6.929,-3.407936508
6.93,-3.408599048
6.931,-3.410703982
6.932,-3.410356267
6.933,-3.41202769
6.934,-3.412256669
6.935,-3.410178777
6.936,-3.413291048
6.937,-3.412943211
6.938,-3.414180718
6.939,-3.417291066
6.94,-3.417230947
6.941,-3.417747047
6.942,-3.418983148
6.943,-3.415610599
6.944,-3.415262779
6.945,-3.417218543
6.946,-3.41888585
6.947,-3.41652274
6.948,-3.41286516
6.949,-3.410935252
6.95,-3.407135664
6.951,-3.40420023
6.952,-3.401697109
6.953,-3.397900489
6.954,-3.398130841
6.955,-3.398073606
6.956,-3.398016386
6.957,-3.399108939
6.958,-3.40005748
6.959,-3.400862069
6.96,-3.400086195
6.961,-3.400459638
6.962,-3.401981904
6.963,-3.404078116
6.964,-3.40373295
6.965,-3.404392765
6.966,-3.402181714
6.967,-3.402123995
6.968,-3.398909456
6.969,-3.39928264
6.97,-3.400372974
6.971,-3.400889271
6.972,-3.397533343
6.973,-3.396759392
6.974,-3.39827957
6.975,-3.398509174
6.976,-3.400028666
6.977,-3.398824878
6.978,-3.398624445
6.979,-3.399140401
6.98,-3.39893998
6.981,-3.399742194
6.982,-3.400114564
6.983,-3.399914089
6.984,-3.401002147
6.985,-3.401946751
6.986,-3.401459854
6.987,-3.397967945
6.988,-3.397624839
6.989,-3.398712446
6.99,-3.399942784
6.991,-3.39902746
6.992,-3.400543401
6.993,-3.400200172
6.994,-3.396568978
6.995,-3.397798742
6.996,-3.398027726
6.997,-3.397113461
6.998,-3.398056865
6.999,-3.395285714
7,-3.396800457
7.001,-3.396600971
7.002,-3.392831644
7.003,-3.395059966
7.004,-3.395431834
7.005,-3.395375393
7.006,-3.391751106
7.007,-3.390981735
7.008,-3.390925952
7.009,-3.387446505
7.01,-3.387961774
7.011,-3.387763833
7.012,-3.387708541
7.013,-3.388508697
7.014,-3.387455453
7.015,-3.387542759
7.016,-3.385492376
7.017,-3.386434882
7.018,-3.388374412
7.019,-3.388461538
7.02,-3.38854864
7.021,-3.389632583
7.022,-3.39028905
7.023,-3.391657175
7.024,-3.391601423
7.025,-3.39126103
7.026,-3.389213035
7.027,-3.389157655
7.028,-3.3859724
7.029,-3.387482219
7.03,-3.387569336
7.031,-3.384954494
7.032,-3.384615385
7.033,-3.384702872
7.034,-3.386496091
7.035,-3.38416714
7.036,-3.386244138
7.037,-3.387041773
7.038,-3.386418525
7.039,-3.3875
7.04,-3.386592814
7.041,-3.386253905
7.042,-3.382791424
7.043,-3.382453152
7.044,-3.382398864
7.045,-3.383621913
7.046,-3.383567476
7.047,-3.384506243
7.048,-3.385728472
7.049,-3.385673759
7.05,-3.384909942
7.051,-3.386982416
7.052,-3.386360414
7.053,-3.383328608
7.054,-3.380864635
7.055,-3.380385488
7.056,-3.379623069
7.057,-3.377302352
7.058,-3.377957218
7.059,-3.378045326
7.06,-3.377850163
7.061,-3.377513452
7.062,-3.374062013
7.063,-3.373867497
7.064,-3.373531493
7.065,-3.373195584
7.066,-3.374133296
7.067,-3.374221845
7.068,-3.375300608
7.069,-3.375388967
7.07,-3.376608683
7.071,-3.376696833
7.072,-3.376360809
7.073,-3.372632174
7.074,-3.372014134
7.075,-3.368428491
7.076,-3.367669917
7.077,-3.368324385
7.078,-3.369543721
7.079,-3.371186441
7.08,-3.372405028
7.081,-3.368681164
7.082,-3.370040943
7.083,-3.36744777
7.084,-3.369371912
7.085,-3.368896415
7.086,-3.365881191
7.087,-3.367945824
7.088,-3.36789392
7.089,-3.368406206
7.09,-3.36976449
7.091,-3.370417372
7.092,-3.370929085
7.093,-3.371722582
7.094,-3.370965469
7.095,-3.371195039
7.096,-3.370297309
7.097,-3.367709214
7.098,-3.367939146
7.099,-3.368873239
7.1,-3.370792846
7.101,-3.367502112
7.102,-3.368154301
7.103,-3.368243243
7.104,-3.371287825
7.105,-3.374331551
7.106,-3.372590404
7.107,-3.373382105
7.108,-3.373892249
7.109,-3.373839662
7.11,-3.37027141
7.111,-3.371062992
7.112,-3.371292001
7.113,-3.371380377
7.114,-3.371187632
7.115,-3.372962338
7.116,-3.373612477
7.117,-3.373559989
7.118,-3.374069392
7.119,-3.373455056
7.12,-3.372700463
7.121,-3.374333053
7.122,-3.373999719
7.123,-3.377035373
7.124,-3.374175439
7.125,-3.377210216
7.126,-3.380244142
7.127,-3.380892256
7.128,-3.380838827
7.129,-3.381907433
7.13,-3.381853877
7.131,-3.38194055
7.132,-3.383008552
7.133,-3.383936081
7.134,-3.385143658
7.135,-3.385229821
7.136,-3.383494465
7.137,-3.385402073
7.138,-3.385208012
7.139,-3.386414566
7.14,-3.382579471
